"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960970310703018";"2115";"39";"2";"1960518867414829_1960970310703018";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960907717375944";"2116";"39";"2";"1960518867414829_1960907717375944";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"3-aa amjilt"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960786310721418";"2117";"39";"2";"1960518867414829_1960786310721418";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960700737396642";"2118";"39";"2";"1960518867414829_1960700737396642";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"Мундаг багаа дэмжинээ"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960651804068202";"2119";"39";"2";"1960518867414829_1960651804068202";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"Амжилт хүсье багаар нь дэмжинээ"
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960635687403147";"2120";"39";"2";"1960518867414829_1960635687403147";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/1960518867414829_1960633427403373";"2121";"39";"2";"1960518867414829_1960633427403373";"data";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";"Амжилт хүсье та 3-таа"
"150150755118325_1968021346664581/150150755118325_1960518867414829/150150755118325_1960518867414829";"2122";"39";"2";"150150755118325_1960518867414829";"offcut";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960518867414829/150150755118325_1960518867414829";"2123";"39";"2";"150150755118325_1960518867414829";"headers";"fetched (200)";"2020-06-17 22:21:09.077815";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143";"40";"1";"1";"150150755118325_1960582394075143";"data";"fetched (200)";"2020-06-17 22:19:16.728151";"Facebook:/<page-id>/posts";"";"#БурууБүхнийгБидЯлна тойм"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962457590554290";"2124";"40";"2";"1960582394075143_1962457590554290";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Үнэхээр тогтуун  намбалаг харагдаж байна нэр дэвшигчид маань тогтуун хүчтэй байгаарай"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1963920070408042";"2125";"40";"2";"1960582394075143_1963920070408042";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Намаа дэмжиж байгаа шүү"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961434243989958";"2126";"40";"2";"1960582394075143_1961434243989958";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Мундаг эдийн засагч эз аа сайжруулаарай амжилт"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960774987389217";"2127";"40";"2";"1960582394075143_1960774987389217";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Бидэнд хэрэгтэй хүн мөнөөсөө мөн"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961456723987710";"2128";"40";"2";"1960582394075143_1961456723987710";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Ерөнхий сайд асан, нэр цэвэр, зөв бодолтой хүн. Иргэдийнхээ төлөө олон зүйлийг хийх хүн гэж боддог шүү 🇲🇳💪🏻"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961530177313698";"2129";"40";"2";"1960582394075143_1961530177313698";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Тийм шүү. Дэмжиж байгаа."
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960776730722376";"2130";"40";"2";"1960582394075143_1960776730722376";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960660407400675";"2131";"40";"2";"1960582394075143_1960660407400675";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Mongol turiin alt shig tushee yaah argagui mon. Demjeerei !"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962508880549161";"2132";"40";"2";"1960582394075143_1962508880549161";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Шударга ёс ялна "
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962712777195438";"2133";"40";"2";"1960582394075143_1962712777195438";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"багшид амжилт хүсье"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960640307402685";"2134";"40";"2";"1960582394075143_1960640307402685";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960663737400342";"2135";"40";"2";"1960582394075143_1960663737400342";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Unen ugtei zaluus bna lee. Amjilt."
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960705127396203";"2136";"40";"2";"1960582394075143_1960705127396203";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Амжилт хүсье. Эрүүл энхийг ерөөе"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960640197402696";"2137";"40";"2";"1960582394075143_1960640197402696";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962508670549182";"2138";"40";"2";"1960582394075143_1962508670549182";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Эрч хүчээр дүүрэн байгаарай 🌸🌸"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960663294067053";"2139";"40";"2";"1960582394075143_1960663294067053";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962449387221777";"2140";"40";"2";"1960582394075143_1962449387221777";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960970864036296";"2141";"40";"2";"1960582394075143_1960970864036296";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960793557387360";"2142";"40";"2";"1960582394075143_1960793557387360";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Амжилт дэмжинээ!"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960640370736012";"2143";"40";"2";"1960582394075143_1960640370736012";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960776424055740";"2144";"40";"2";"1960582394075143_1960776424055740";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"👍👍"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961651767301539";"2145";"40";"2";"1960582394075143_1961651767301539";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1962505877216128";"2146";"40";"2";"1960582394075143_1962505877216128";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961861460613903";"2147";"40";"2";"1960582394075143_1961861460613903";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961540483979334";"2148";"40";"2";"1960582394075143_1961540483979334";"data";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/150150755118325_1960582394075143";"2149";"40";"2";"150150755118325_1960582394075143";"offcut";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/150150755118325_1960582394075143";"2150";"40";"2";"150150755118325_1960582394075143";"headers";"fetched (200)";"2020-06-17 22:21:09.879765";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961540483979334";"2151";"40";"2";"1960582394075143_1961540483979334";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961530177313698";"2152";"40";"2";"1960582394075143_1961530177313698";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Тийм шүү. Дэмжиж байгаа."
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1961026637364052";"2153";"40";"2";"1960582394075143_1961026637364052";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Mongoliin toloo hamtadaa"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960970864036296";"2154";"40";"2";"1960582394075143_1960970864036296";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960956094037773";"2155";"40";"2";"1960582394075143_1960956094037773";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Mundag humuus shuu"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960793557387360";"2156";"40";"2";"1960582394075143_1960793557387360";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Амжилт дэмжинээ!"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960776730722376";"2157";"40";"2";"1960582394075143_1960776730722376";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";""
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960776424055740";"2158";"40";"2";"1960582394075143_1960776424055740";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"👍👍"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960774987389217";"2159";"40";"2";"1960582394075143_1960774987389217";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Бидэнд хэрэгтэй хүн мөнөөсөө мөн"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960705127396203";"2160";"40";"2";"1960582394075143_1960705127396203";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Амжилт хүсье. Эрүүл энхийг ерөөе"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960700124063370";"2161";"40";"2";"1960582394075143_1960700124063370";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"👍"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960690090731040";"2162";"40";"2";"1960582394075143_1960690090731040";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"top boljee"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960674600732589";"2163";"40";"2";"1960582394075143_1960674600732589";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";"Amjilt"
"150150755118325_1968021346664581/150150755118325_1960582394075143/1960582394075143_1960671634066219";"2164";"40";"2";"1960582394075143_1960671634066219";"data";"fetched (200)";"2020-06-17 22:21:10.185810";"Facebook:/<post-id>/comments";"";""
