"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"2";"40";"3";"147843726867626_148126240172708";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Sejigten horigdol horigdchihson bhd .Mgl ch mongotei hunii togloom boljee"
"2";"41";"3";"112043303781002_147843726867626";"offcut";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"42";"3";"112043303781002_147843726867626";"headers";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"43";"3";"147843726867626_148009536851045";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"Үхтэл үр харам"
"2";"44";"3";"147843726867626_148005970184735";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"shorongos u ya ya ..."
"2";"45";"3";"147843726867626_148005376851461";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"ene tsagaan tolgoitoi owgonoos tsagaan suwargiin ordoo away "
"2";"46";"3";"147843726867626_147961766855822";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"mundag hvn shvv fake aac r bish ooriinhooroo bichildee chadaj bnashdee hogshoon"
"2";"47";"3";"147843726867626_147845496867449";"data";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";"#freeNomt"
"2";"48";"3";"112043303781002_147843726867626";"offcut";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"49";"3";"112043303781002_147843726867626";"headers";"fetched (200)";"2020-06-15 14:07:58.940314";"Facebook:/<post-id>/comments";"";""
"2";"50";"4";"112043303781002_147531630232169";"empty";"fetched (200)";"2020-06-15 14:07:59.087957";"Facebook:/<post-id>/comments";"";""
"2";"51";"4";"112043303781002_147531630232169";"offcut";"fetched (200)";"2020-06-15 14:07:59.087957";"Facebook:/<post-id>/comments";"";""
"2";"52";"4";"112043303781002_147531630232169";"headers";"fetched (200)";"2020-06-15 14:07:59.087957";"Facebook:/<post-id>/comments";"";""
"2";"53";"5";"112043303781002_147524093566256";"empty";"fetched (200)";"2020-06-15 14:07:59.438536";"Facebook:/<post-id>/comments";"";""
"2";"54";"5";"112043303781002_147524093566256";"offcut";"fetched (200)";"2020-06-15 14:07:59.438536";"Facebook:/<post-id>/comments";"";""
"2";"55";"5";"112043303781002_147524093566256";"headers";"fetched (200)";"2020-06-15 14:07:59.438536";"Facebook:/<post-id>/comments";"";""
"2";"56";"6";"145873100398022_149493463369319";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";"#Иргэд #хүчтэй  #FreeNomt"
"2";"57";"6";"145873100398022_149480530037279";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"58";"6";"145873100398022_149480560037276";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"59";"6";"145873100398022_149480613370604";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"60";"6";"145873100398022_149480663370599";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"61";"6";"145873100398022_149480593370606";"data";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"62";"6";"112043303781002_145873100398022";"offcut";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"63";"6";"112043303781002_145873100398022";"headers";"fetched (200)";"2020-06-15 14:07:59.790440";"Facebook:/<post-id>/comments";"";""
"2";"64";"7";"112043303781002_113020177016648";"empty";"fetched (200)";"2020-06-15 14:08:00.974502";"Facebook:/<post-id>/comments";"";""
"2";"65";"7";"112043303781002_113020177016648";"offcut";"fetched (200)";"2020-06-15 14:08:00.974502";"Facebook:/<post-id>/comments";"";""
"2";"66";"7";"112043303781002_113020177016648";"headers";"fetched (200)";"2020-06-15 14:08:00.974502";"Facebook:/<post-id>/comments";"";""
"2";"67";"8";"112116013773731_149490750036257";"data";"fetched (200)";"2020-06-15 14:08:02.992432";"Facebook:/<post-id>/comments";"";"gvndvvgvi Mongol er hvn shvv"
"2";"68";"8";"112043303781002_112116013773731";"offcut";"fetched (200)";"2020-06-15 14:08:02.992432";"Facebook:/<post-id>/comments";"";""
"2";"69";"8";"112043303781002_112116013773731";"headers";"fetched (200)";"2020-06-15 14:08:02.992432";"Facebook:/<post-id>/comments";"";""
"2";"70";"9";"112043303781002_112043787114287";"empty";"fetched (200)";"2020-06-15 14:08:03.655650";"Facebook:/<post-id>/comments";"";""
"2";"71";"9";"112043303781002_112043787114287";"offcut";"fetched (200)";"2020-06-15 14:08:03.655650";"Facebook:/<post-id>/comments";"";""
"2";"72";"9";"112043303781002_112043787114287";"headers";"fetched (200)";"2020-06-15 14:08:03.655650";"Facebook:/<post-id>/comments";"";""
"2";"73";"10";"112043303781002_112043660447633";"empty";"fetched (200)";"2020-06-15 14:08:03.827454";"Facebook:/<post-id>/comments";"";""
"2";"74";"10";"112043303781002_112043660447633";"offcut";"fetched (200)";"2020-06-15 14:08:03.827454";"Facebook:/<post-id>/comments";"";""
"2";"75";"10";"112043303781002_112043660447633";"headers";"fetched (200)";"2020-06-15 14:08:03.827454";"Facebook:/<post-id>/comments";"";""
"2";"76";"12";"112043303781002";"data";"error (400)";"2020-06-15 14:08:04.190473";"Facebook:/<post-id>/comments";"";""
"2";"77";"12";"112043303781002";"headers";"error (400)";"2020-06-15 14:08:04.190473";"Facebook:/<post-id>/comments";"";""
