"level";"id";"parent_id";"object_id";"object_type";"query_status";"query_time";"query_type";"created_time";"type";"comments.summary.total_count";"shares.count";"reactions.summary.total_count";"like.summary.total_count";"love.summary.total_count";"haha.summary.total_count";"wow.summary.total_count";"sad.summary.total_count";"angry.summary.total_count";"message"
"1";"154";"1";"210175192404846_3037209856368018";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T07:43:52+0000";"video";"538";"1642";"1995";"1880";"52";"20";"6";"6";"31";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЯЛАЛТЫН МЭДЭЭ”"
"1";"155";"1";"210175192404846_3036969476392056";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T05:10:43+0000";"link";"87";"203";"1031";"1001";"20";"3";"0";"0";"7";"http://demparty.mn/article/801"
"1";"156";"1";"210175192404846_1154037024980666";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T04:09:24+0000";"video";"335";"914";"580";"524";"49";"3";"0";"0";"4";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЯЛАЛТЫН МЭДЭЭ”  Өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"157";"1";"210175192404846_3036773613078309";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T03:16:13+0000";"photo";"384";"1030";"908";"847";"54";"1";"2";"1";"3";"АРДЧИЛСАН ЗАЛУУЧУУДЫН ХОЛБОО"
"1";"158";"1";"210175192404846_3036726243083046";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T02:50:13+0000";"video";"336";"2049";"525";"482";"27";"9";"2";"0";"5";"Ардчилсан нам дараагийн Ерөнхий сайдаар Р.Амаржаргалыг томилохоо зарлалаа"
"1";"159";"1";"210175192404846_3036674336421570";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-16T02:22:10+0000";"photo";"408";"898";"522";"496";"23";"0";"1";"1";"1";"Мэдэгдэл"
"1";"160";"1";"210175192404846_3035024803253190";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-15T11:42:27+0000";"video";"241";"999";"1016";"973";"24";"6";"2";"1";"10";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"161";"1";"210175192404846_3034870116601992";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-15T10:11:34+0000";"video";"205";"818";"483";"451";"26";"2";"1";"0";"3";"""ӨСӨЛТИЙН ТУХАЙ ЯРЪЯ"" ПОДКАСТ: БСШУС-ЫН САЙД АСАН Л.ГАНТӨМӨР"
"1";"162";"1";"210175192404846_185234582898629";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-15T07:13:06+0000";"video";"540";"1027";"1053";"968";"67";"7";"1";"1";"9";"АРДЧИЛСАН НАМЫН СОНГУУЛИЙН ТӨВ ШТАБААС БЭЛТГЭЖ БАЙГАА “ЭРХ ЧӨЛӨӨНИЙ МЭДЭЭ”  өдөр бүрийн 12:06 минут                            15:00 цаг                           19:00 цагаас сонгогч та хүлээн авч үзээрэй"
"1";"163";"1";"210175192404846_908491783000849";"data";"fetched (200)";"2020-07-23 18:36:05.786496";"Facebook:/<page-id>/posts";"2020-06-15T03:44:47+0000";"video";"796";"3169";"1364";"1167";"147";"26";"2";"1";"21";"Ардчилсан намын бүлгээс цаг үеийн асуудлаар мэдээлэл хийж байна."
