"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_578052196460161";"163";"2";"2";"577762583155789_578052196460161";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577930443139003";"164";"2";"2";"577762583155789_577930443139003";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577897483142299";"165";"2";"2";"577762583155789_577897483142299";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Bolovsrol chuhal..."
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577890919809622";"166";"2";"2";"577762583155789_577890919809622";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"💪💪💪"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577874933144554";"167";"2";"2";"577762583155789_577874933144554";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Багаар нь дэмжиж бна"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577817816483599";"168";"2";"2";"577762583155789_577817816483599";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577817779816936";"169";"2";"2";"577762583155789_577817779816936";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Amjilt husey"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577806623151385";"170";"2";"2";"577762583155789_577806623151385";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577801559818558";"171";"2";"2";"577762583155789_577801559818558";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";""
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577799523152095";"172";"2";"2";"577762583155789_577799523152095";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Амжилт хүсье"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577788703153177";"173";"2";"2";"577762583155789_577788703153177";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Amidralin bat suuri bol bolovsrol"
"229761661289218_577762583155789/577762583155789_577788293153218/577762583155789_577788416486539";"174";"2";"2";"577762583155789_577788416486539";"data";"fetched (200)";"2020-06-17 23:18:23.601060";"Facebook:/<post-id>/comments";"";"Mundag bna shuu irgediinhee sanal huselt duu hooloig sonsoj uulzaldaad"
