"path";"id";"parent_id";"level";"object_id";"object_type";"query_status";"query_time";"query_type";"name";"message"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777626349027703";"162";"4";"2";"1777529205704084_1777626349027703";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Бидний сонголт !!! Еронхий сайдынхаа багийг дэмжиж амжилт хусье"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777626079027730";"163";"4";"2";"1777529205704084_1777626079027730";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Зөв шд, сонгуулийн дүн ард иргэдийн бодит дүн байгааг хяналтын тооллого ч баталж байна. сонгуулийн орой л ажиглагч нарт нь хэвлэж өгсөн билл.г хамгийн наад захын эксэл программ дээр шивж нэгтгээд, ямар дүн хэн хэн авсныг нэгтгээд гаргачих сийрэг толгойгүй хүмүүс л байх юм дааа... энэ ялагдлаа хүлээн зөвшөөрөхгүй, бусдаас буруу хайж байгаа хүмүүс яаж төрд гарчихаагүй юм..."
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777638455693159";"164";"4";"2";"1777529205704084_1777638455693159";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Ард түмэн сонголтоо зөв хийсэн ✅. Хүмүүс минь одоо больж үз , заавал таны дэмжсэн хүн гарах ёстой гэвэл 606 гийн дэмжсэн бүх хүмүүс л юм ярина. Одоо энэ улсынхаа ажлыг хийлгэцгээе "
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777623165694688";"165";"4";"2";"1777529205704084_1777623165694688";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Өчнөөн арван жил төрийн эрх барилаа. ганц сайн үйлдвэр ганц сайн сургууль ч баричихгүй юмдаа. эрчим хүчээ хүртэл гаднаас авдагаасаа ичиж байна. 70 жилийн өмнө одоогийнхоос хамаагүй дээр улс шиг улс байж. Үнэхээр ард түмний сонголтоор гарсан бол итгэлийг нь бодож аятайхан үр дүнтэй бодитой зүйлүүд хийж хэрэгжүүлээрэй. Монголчууд бүгд тэнэг биш шүү. Амжилт!"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777637912359880";"166";"4";"2";"1777529205704084_1777637912359880";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"нам нам гээд л намчирхаад сүйд болох юмаа. Хүнийг нь харахгүй шууд намаа сонгочихсон юм бишүү энэ хүмүүс чинь. Гуя дагасан хүзүү гэдэг шиг бас саар хүмүүс нь ч гарчихлаашт"
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777628492360822";"167";"4";"2";"1777529205704084_1777628492360822";"data";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";"Маш зөв сонголт хийсэн миний аав ээж ах эгч бүгд л энэ намын гишүүд Хүрэлсүхийн багыг багаар нь дэмжиж эхлүүлсэн ажилаа дуусгаасай гэж бидний итгэлийг битгий хөсөрдүүлээрэй гэж сонгосон та нар минь ихийг хийж бүтээгээрэй ажлын өндөр амжилт хүсье"
"120920014698353/120920014698353_1777529205704084/120920014698353_1777529205704084";"168";"4";"2";"120920014698353_1777529205704084";"offcut";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353_1777529205704084/120920014698353_1777529205704084";"169";"4";"2";"120920014698353_1777529205704084";"headers";"fetched (200)";"2020-07-13 15:48:32.088346";"Facebook:/<post-id>/comments";"";""
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777613762362295";"170";"4";"2";"1777529205704084_1777613762362295";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"ugasa ene udaagin songuuli todorhoi bsn l da MAN-s uur oligtoo songolt bgagaui tged ch olonh mass-d nuluuluh ajiliig hiij chadsan. aldaa onoo ih bsnch songuulida nam shg nam bj namiin darga n ch sain udirdj chigliilj orson harin ERDENE chadaagui "
"120920014698353/120920014698353_1777529205704084/1777529205704084_1777598595697145";"171";"4";"2";"1777529205704084_1777598595697145";"data";"fetched (200)";"2020-07-13 15:48:32.531886";"Facebook:/<post-id>/comments";"";"МАН даа саналаа өгсөн дэмждэг шүү амжилт"
